Issue Type,Summary,Description,Priority,Status,Epic Name,Epic Link,Labels,Labels,Labels
Story,Plateforme admin v1 : tableau de bord à deux rôles,FastAPI + Jinja2 + htmx. Restaurateur et super-admin.,High,Done,,Plateforme d'administration,admin,,
Task,"Refonte visuelle de l'admin, thèmes clair et sombre","Jeu de tokens CSS, contrastes mesurés sur les deux surfaces.",Medium,Done,,Plateforme d'administration,admin,design,
Story,"Admin v3 : coquille latérale, vue du parc, santé et coûts",Salle de contrôle par établissement. Tout ce qui est affiché est mesuré — aucune métrique inventée.,High,Done,,Plateforme d'administration,admin,,
Bug,Fuite de données entre établissements dans les lignes de réservation,Le nom des autres enseignes apparaissait chez un restaurateur après une édition. Scoping tenant manquant sur la requête.,Highest,Done,,Plateforme d'administration,bug,securite,admin
Story,Hébergement 24/7 : Caddy HTTPS automatique et image de production allégée,"Politique de redémarrage, image sans torch ni moshi pour un VPS CPU qui n'utilise que moshi_server et Deepgram. Documenté dans docs/DEPLOY.md.",High,Done,,Mise en production et hébergement,infra,prod,
Story,Domaine helmane.fr avec Caddy multi-noms,Accepter plusieurs noms d'hôte permet de basculer de domaine sans fenêtre de coupure sur le webhook Twilio.,High,Done,,Mise en production et hébergement,infra,prod,
Story,"Migrer l'application sur Hostinger, hors de Modal et de ngrok","L'app tourne sur un VPS CPU en Europe, sur app.helmane.fr. Fin de l'URL ngrok éphémère et du poste local allumé en permanence. Modal ne sert plus que le GPU.",Highest,Done,,Mise en production et hébergement,infra,prod,
Task,Mettre en place une sauvegarde quotidienne de la base,"La base SQLite vit aujourd'hui dans un volume de conteneur, sans copie. Une réservation perdue est un client perdu. Sauvegarde quotidienne hors machine + test de restauration.",Highest,To Do,,Mise en production et hébergement,infra,prod,risque
Task,Supervision et alerte en cas d'appel en échec,"Aujourd'hui une panne se découvre en écoutant un appel. Il faut une alerte sur webhook en erreur, TTS injoignable, taux d'échec anormal.",High,To Do,,Mise en production et hébergement,observabilite,prod,
Task,Arrêter l'ancienne app Modal monolithique,deploy/modal_app.py hébergeait toute l'application sur GPU. Legacy depuis la migration : `modal app stop moshi-voice-assistant` pour ne plus gaspiller de GPU.,Low,To Do,,Mise en production et hébergement,modal,nettoyage,
Story,Intégration continue GitHub Actions sur push et pull request,"pytest à chaque push, aucun appel réseau dans les tests.",High,Done,,"Qualité, tests et intégration continue",ci,tests,
Task,Suite de tests sans réseau : 220 tests au vert,"LLM, STT et TTS entièrement simulés. Couvre le routage, les outils, l'admin, les voix, le STT Kyutai et le prompt système.",High,Done,,"Qualité, tests et intégration continue",tests,,
Bug,Un seul appel par conteneur : le batching de moshi-server n'était jamais utilisé,"Sur Modal, une connexion websocket est un input de fonction. Sans @modal.concurrent, Modal n'en place qu'un par conteneur : le deuxième appel simultané allumait un deuxième GPU, cold start compris, alors que moshi-server est configuré pour partager le process (batch_size=8). Corrigé par @modal.concurrent(max_inputs=8, target_inputs=6).",Highest,In Progress,,Montée en charge et coûts GPU,scale,modal,cout
Task,Plafonner le nombre de GPU simultanés,"Sans plafond, un pic d'appels ou une boucle de reconnexion peut allumer des dizaines de L4. max_containers=4, soit 32 appels simultanés, réglable par variable d'environnement.",High,In Progress,,Montée en charge et coûts GPU,scale,modal,cout
Task,Redéployer Modal et valider deux appels simultanés sur un seul GPU,Critère de recette : deux appels lancés en même temps depuis deux téléphones doivent apparaître comme UN SEUL conteneur dans le tableau de bord Modal.,Highest,To Do,,Montée en charge et coûts GPU,scale,modal,recette
Task,Garder un GPU chaud aux heures de service uniquement,"Le scale-to-zero fait payer un cold start d'environ 50 s au premier appel après 2 minutes d'inactivité — soit précisément le coup de feu de 19 h. Un L4 chaud en continu coûte environ 520 €/mois, contre environ 170 €/mois sur 8 h par jour, amorti sur tous les établissements. Piloter MODAL_MIN_CONTAINERS par planning.",High,To Do,,Montée en charge et coûts GPU,scale,cout,latence
Task,Faire tourner toutes les clés d'API exposées en clair,"Twilio (auth token), OpenRouter, Deepgram, Cartesia et Anthropic ont été affichées en clair et sont à considérer comme compromises. À révoquer et regénérer côté fournisseurs. Les secrets vivent dans .env (non versionné), jamais dans env.example.",Highest,To Do,,Sécurité et conformité,securite,risque,
Task,Auditer la protection de l'admin exposé publiquement,"app.helmane.fr/admin est désormais sur Internet : vérifier l'authentification, la protection CSRF, le scoping tenant sur chaque route et la robustesse des mots de passe.",Highest,To Do,,Sécurité et conformité,securite,admin,
Task,Obligations RGPD sur les données d'appelants,"Numéro de téléphone et contenu de conversation sont des données personnelles : registre de traitement, durée de conservation, mention d'information au début de l'appel, contrat de sous-traitance avec les clients, hébergement en Europe.",High,To Do,,Sécurité et conformité,securite,conformite,juridique
Story,Réécrire le prompt système de l'assistante,"Trois manques corrigés : prononciation (heures et dates en toutes lettres à l'oral, format strict conservé dans les appels d'outils) ; dates relatives (« vendredi prochain » exigeait de connaître le jour de la semaine) ; garde-fous absents sur les appels qui ne sont pas des réservations — allergènes, annulation, gestes commerciaux, hors-sujet, tentative de changement de rôle, ligne inaudible. 11 tests ajoutés.",High,Done,,Offre commerciale et mise sur le marché,llm,produit,
Story,Page de vente Helmane,"Héro montrant un appel réel qui se déroule et la ligne qui s'inscrit au cahier, tarifs présentés en carte de restaurant, calculateur de manque à gagner piloté par les chiffres du restaurateur, section « ce qu'elle ne fera jamais ». Aucun faux témoignage ni fausse statistique.",High,Done,,Offre commerciale et mise sur le marché,marketing,,
Task,Arrêter la grille tarifaire,"Proposition : Essentiel 89 € (150 appels), Service 149 € (400 appels), Maison 249 € (5 établissements, 1 200 appels). Marché français constaté : Yumcall 99 €, Accueil IA 39 à 149 €, Nerolia à partir de 149 €. Marché américain : Loman environ 299 $, Slang.ai à partir de 399 $. Coût de revient mesuré : 11,4 ¢ par appel, soit plus de 80 % de marge à 89 € pour 150 appels. Tarif fondateur conseillé pour les 10 premiers, prix garanti à vie.",Highest,To Do,,Offre commerciale et mise sur le marché,marketing,decision,
Task,Ouvrir un numéro de démonstration public,"Le meilleur argument d'un service vocal est « appelez-la maintenant ». Numéro Twilio dédié, établissement fictif de démonstration, à placer sur la page de vente (l'emplacement est déjà prévu).",High,To Do,,Offre commerciale et mise sur le marché,marketing,twilio,
Story,Compter les appels et faire respecter le plafond de la formule,"Le plafond est un argument de vente assumé et la seule protection contre l'établissement à 800 appels par mois qui mange la marge GPU. Compteur mensuel par établissement, alerte à 80 %, facturation du dépassement à 0,15 €.",High,To Do,,Offre commerciale et mise sur le marché,produit,facturation,
Task,Recruter un restaurant pilote pour deux semaines de vrais appels,Jalon de sortie de la phase produit. On ne saura pas ce qui casse tant qu'un vrai client n'appelle pas.,Highest,To Do,,Offre commerciale et mise sur le marché,marketing,pilote,
Story,Modification et annulation de réservation par téléphone,Aujourd'hui l'assistante prend le message et l'équipe rappelle — et il lui est interdit de prétendre avoir annulé. C'est la première capacité manquante citée par les concurrents.,High,To Do,,Couche SaaS en libre-service,produit,llm,
Story,SMS de confirmation au client et récapitulatif au restaurateur,"Confirmation immédiate au client final, récapitulatif quotidien à l'établissement. Argument de vente du palier Service.",Medium,To Do,,Couche SaaS en libre-service,produit,twilio,
Story,Transfert d'appel vers un humain,"Sur demande explicite, mot-clé d'urgence, ou après deux incompréhensions consécutives.",Medium,To Do,,Couche SaaS en libre-service,produit,twilio,
Story,Facturation Stripe : abonnement et dépassement,"Abonnement mensuel par formule, dépassement à l'appel, portail client d'auto-gestion.",High,To Do,,Couche SaaS en libre-service,facturation,,
Story,Achat du numéro Twilio en un clic depuis l'admin,Objectif d'onboarding : moins de 15 minutes sans intervention manuelle.,Medium,To Do,,Couche SaaS en libre-service,produit,twilio,
Task,Passer de SQLite à PostgreSQL,"À faire quand plusieurs établissements écrivent en même temps, pas avant : SQLite tient largement la charge actuelle.",Low,To Do,,Couche SaaS en libre-service,backend,bdd,
